#{"t_start": 1769525024.005136, "env_id": "None"}
r,l,t
-9365446.93728,34560,39096.944747
-12294980.192666,34560,39168.721839
-17895754.135379,34560,39240.654873
-22328065.339306,35712,39314.616807
-4894371.380167,34560,39386.00829
-5457518.382075,35712,39460.405193
-26457345.998759,35712,39535.365522
-10519666.123791,35712,39610.738244
-6023047.925373,35712,39685.490666
-33946505.681837,35712,39760.181238
-10740692.442587,35712,39834.657805
-25278354.742244,35712,39909.251946
-12620945.282779,34560,39981.453578
-32098520.7003,35712,40056.787829
-8471297.338585,35712,40130.878995
-6241503.521565,34560,40203.6567
-13662428.038351,34560,40275.697797
-6920844.944808,35712,40350.293552
-4849987.274412,35712,40424.731615
-13890685.262265,35712,40499.40618
-14931062.885509,34560,40572.672223
-6188296.006637,34560,40654.778714
-11301562.305932,34560,40726.860794
-25507504.913044,35712,40801.104222
-22488930.09438,34560,40873.126596
-6004698.066359,35712,40947.435782
-9530662.367062,35712,41021.684123
-16064050.799656,35712,41096.107105
-16937583.592145,35712,41171.483136
-7547769.557924,35712,41246.145631
-6981017.603119,35712,41321.129659
-7813335.473857,35712,41396.79445
-19019848.983831,34560,41468.474864
-18625779.171744,35712,41542.578935
-16684819.064413,35712,41617.13507
-7146582.599609,34560,41689.089847
-8822710.747284,34560,41761.050631
-8102311.226982,35712,41836.243824
-12346311.024901,35712,41910.604749
-6200061.733053,35712,41985.178267
-3814431.569233,34560,42057.284651
-6545226.296539,34560,42129.672921
-17313526.760006,34560,42201.65288
-2308586.062984,35712,42275.930714
-19637824.732268,34560,42348.101602
-6320233.325164,35712,42424.044529
-12182757.026859,35712,42498.548274
-25278373.49212,35712,42573.056953
-17053602.365472,35712,42647.903762
-18781659.479468,35712,42722.906101
-13122573.016216,35712,42797.131548
-17757820.312533,35712,42871.687177
-15524625.600913,34560,42944.690664
-6188996.167573,35712,43019.93344
-29982270.215774,35712,43095.022124
-7811451.593425,34560,43168.22798
-6064627.291587,34560,43241.077703
-5092513.843324,35712,43318.427593
-15008000.605456,35712,43394.159791
-3406821.916053,35712,43468.504906
-7334028.487491,34560,43540.423136
