#{"t_start": 1767930881.8028767, "env_id": "None"}
r,l,t
-11548887.827648,8784,43578.821612
-23923326.836862,8784,43595.372907
-48475520.479823,8784,43611.923787
-16713601.95152,8784,43628.43274
-34955291.585964,8784,43644.952653
-50198621.430844,8784,43661.536089
-27994757.170079,8784,43678.130267
-12609325.389603,8784,43694.631596
-29634653.00078,8784,43711.165484
-21448170.607771,8784,43727.722486
-26226281.764126,8784,43744.239027
-27637663.799627,8784,43760.780687
-20522021.38006,8784,43777.312489
-73634909.052358,8784,43793.915926
-21301048.34679,8784,43810.552177
-19541363.424264,8784,43827.107307
-35903534.288364,8784,43885.638183
-6520072.634301,8784,43902.15412
-50991782.337865,8784,43918.674929
-66697420.287506,8784,43935.284353
-36927109.332365,8784,43951.900419
-31321116.215461,8784,43968.410894
-28244290.888229,8784,43984.906433
-71598463.362408,8784,44001.484787
-21894901.940327,8784,44018.048402
-27789122.619702,8784,44034.68357
-43116470.035237,8784,44051.318502
-11408812.505538,8784,44067.886439
-69208121.909872,8784,44084.492749
-7673952.364031,8784,44101.067283
-12543862.507093,8784,44117.653689
-18104825.71084,8784,44134.252831
-39475137.772842,8784,44150.822538
-39425477.86358,8784,44167.461174
-15447130.088647,8784,44184.009855
-31554638.854931,8784,44200.55378
-25535363.776124,8784,44217.109628
-83830885.494615,8784,44233.713457
-53755922.259685,8784,44250.290319
-13643932.50361,8784,44266.868005
-36902472.207561,8784,44283.439775
-12383877.082808,8784,44300.053756
-6444243.131173,8784,44316.642536
-35315468.840778,8784,44333.254094
-45432697.315878,8784,44349.813114
-34518828.94503,8784,44366.457639
-22927572.729949,8784,44383.063816
-54224378.699157,8784,44399.717637
-35102029.555917,8784,44416.309072
-29129067.590325,8784,44432.938127
-51765985.712514,8784,44449.614483
-8126502.004334,8784,44466.183842
-7643717.183058,8784,44482.806661
-8971284.499349,8784,44499.419827
-30233946.282978,8784,44515.924214
-28240152.467472,8784,44532.56049
-4814195.885113,8784,44549.186964
-43689675.576603,8784,44565.80727
-17424444.130535,8784,44582.460251
-27999174.376939,8784,44599.073981
-14126560.82821,8784,44615.719254
-80391942.703719,8784,44632.40188
-15853299.264473,8784,44649.045947
-14091241.823535,8784,44665.737688
-24017443.267411,8784,44682.386367
-13173217.650377,8784,44699.035226
-36613065.635549,8784,44757.568099
-27265617.831427,8784,44774.175316
-9293531.482883,8784,44790.7105
-34532060.523441,8784,44807.344388
-33706130.182088,8784,44823.949945
-42591715.536037,8784,44840.612258
-15582775.522155,8784,44857.251724
-12830916.773539,8784,44873.885483
-11862405.140059,8784,44890.554008
-18137191.312341,8784,44907.224858
-8523272.650077,8784,44923.971359
-34548748.426735,8784,44940.646663
-11907619.05097,8784,44957.279195
-35440479.200987,8784,44973.931027
-13739159.96471,8784,44990.56346
-68209761.81345,8784,45007.336679
-50306757.250644,8784,45024.00208
-51144874.038963,8784,45040.65039
-43713031.4846,8784,45057.281725
-48882976.655093,8784,45073.924531
-14454195.733093,8784,45090.659242
-39188905.561589,8784,45107.331449
-8732534.221873,8784,45123.966759
-13731640.101769,8784,45140.564482
-48712582.632181,8784,45157.211878
-4321197.338461,8784,45173.915415
-10280891.508616,8784,45190.633415
-50434331.537221,8784,45207.341134
-55586919.788792,8784,45224.048008
-15671373.57052,8784,45240.759228
-12423594.913173,8784,45257.494453
-9223400.380087,8784,45274.181356
-9000904.965034,8784,45290.858231
-6401789.021291,8784,45307.593599
-9707790.520164,8784,45324.306174
-16631274.210098,8784,45340.861048
-11295715.25149,8784,45357.561901
-6524178.139506,8784,45374.261869
-8141706.357789,8784,45390.921852
-25769391.620827,8784,45407.553954
-11271176.963109,8784,45424.179445
-25925798.510777,8784,45440.878182
-83257376.740973,8784,45457.615229
-30541040.702826,8784,45474.301714
-12660884.696375,8784,45491.012132
-7711901.446346,8784,45507.730386
-14363935.044296,8784,45524.480287
-18610674.336687,8784,45541.219186
-9210703.903626,8784,45557.971835
-35586068.697366,8784,45574.705992
-8311384.639506,8784,45633.329491
-22597246.74645,8784,45650.043842
-35029199.091117,8784,45666.766479
-10060787.265083,8784,45683.400898
-22594091.628898,8784,45699.998345
-19470914.212058,8784,45716.697865
-5968737.025896,8784,45733.388057
-39133954.046343,8784,45750.117059
-63544531.525783,8784,45766.889548
-27285207.810285,8784,45783.528432
-37831450.42453,8784,45800.263855
-11059762.924898,8784,45816.998048
-49739988.35724,8784,45833.794688
-40010823.052244,8784,45850.510326
-29700904.575222,8784,45867.196627
-19852966.720743,8784,45883.980253
-11459261.746809,8784,45900.636589
-29770928.347783,8784,45917.404909
-10489279.833637,8784,45934.134778
-10931821.234014,8784,45950.83875
-5284947.057694,8784,45967.589873
-71902267.129694,8784,45984.339703
-23713766.400841,8784,46001.01985
-40147384.901619,8784,46017.767638
-8223985.511763,8784,46034.521064
-5677208.557773,8784,46051.256944
-52109988.459523,8784,46068.009783
-11673392.566629,8784,46084.700277
-35707073.857503,8784,46101.487636
-24688898.624289,8784,46118.092836
-17733998.294001,8784,46134.785962
-31568754.878744,8784,46151.473707
-5438024.099086,8784,46168.115624
-8488373.667354,8784,46184.668758
-7255125.921277,8784,46201.410757
-24927702.850573,8784,46218.091525
-11086665.956227,8784,46234.746635
-30269539.863574,8784,46251.29823
-28512235.705539,8784,46267.845667
-26009208.617522,8784,46284.491632
-24428057.524634,8784,46301.182256
-43633976.97456,8784,46317.934216
-36836864.594307,8784,46334.710323
-27750565.198113,8784,46351.455555
-6070730.269089,8784,46368.105322
-16951678.429522,8784,46384.947097
