train/n_updates,time/total_timesteps,time/time_elapsed,train/learning_rate,time/fps,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
54670600,54671616,110430,4.440004553734063e-05,495,6.024169874763175e-06,0.1,-9702090.970429951,8784.0,6224,,
54705740,54706752,110506,4.4300034153005476e-05,495,5.225036886713497e-06,0.1,-9627130.700406458,8784.0,6228,,
54740880,54741888,110577,4.42000227686703e-05,495,4.7721350256324515e-06,0.1,-9819492.096115451,8784.0,6232,,
54776020,54777024,110647,4.4100011384335147e-05,495,5.598027019004803e-06,0.1,-9982081.33326916,8784.0,6236,,
54811140,54812160,110717,4.400005692167577e-05,495,6.057569987660827e-06,0.1,-9740592.31089882,8784.0,6240,,
54846280,54847296,110787,4.390004553734062e-05,495,5.049481262631161e-06,0.1,-9630798.226114338,8784.0,6244,,
54881420,54882432,110857,4.3800034153005464e-05,495,4.898314546153415e-06,0.1,-9337475.797335858,8784.0,6248,,
54898980,54900000,,4.3750056921675774e-05,,5.119481318160979e-06,0.1,,,,8784.0,-6005723.439320201
54916560,54917568,110970,4.370002276867031e-05,494,5.0067725851477006e-06,0.1,-9310413.63348639,8784.0,6252,,
54951700,54952704,111040,4.360001138433516e-05,494,5.459675594465807e-06,0.1,-9231631.00415703,8784.0,6256,,
54986820,54987840,111111,4.350005692167578e-05,494,4.570557939587161e-06,0.1,-9157466.05332067,8784.0,6260,,
55021960,55022976,111181,4.3400045537340627e-05,494,4.285755505861744e-06,0.1,-8936214.678917682,8784.0,6264,,
55057100,55058112,111251,4.330003415300547e-05,494,4.682815688283881e-06,0.1,-8967575.34790378,8784.0,6268,,
55092240,55093248,111321,4.3200022768670304e-05,494,4.9361831088390314e-06,0.1,-8674806.88622079,8784.0,6272,,
55127380,55128384,111391,4.310001138433515e-05,494,4.225660518386576e-06,0.1,-8681204.269071989,8784.0,6276,,
55162500,55163520,111462,4.300005692167577e-05,494,5.2166063255754125e-06,0.1,-8908278.77324553,8784.0,6280,,
